file_name,MFCC_01,MFCC_02,MFCC_03,MFCC_04,MFCC_05,MFCC_06,MFCC_07,MFCC_08,MFCC_09,MFCC_10,Chroma_01,Chroma_02,Chroma_03,Chroma_04,Chroma_05,Chroma_06,Chroma_07,Chroma_08,Chroma_09,Chroma_10,Chroma_11,Chroma_12,Spectral_Contrast_01,Spectral_Contrast_02,Spectral_Contrast_03,Spectral_Contrast_04,Spectral_Contrast_05,Spectral_Contrast_06,Spectral_Contrast_07,Zero_Crossing_Rate,Spectral_Rolloff
0,-442.5108,138.27228,34.29983,25.730999,2.480635,16.53034,11.234749,-10.378232,-2.4375634,-9.369584,0.6329756,0.43414187,0.35180792,0.23604435,0.14448133,0.09437832,0.15394866,0.23986816,0.30132598,0.31166384,0.39715174,0.5651035,22.259972783698615,17.616825039136405,21.567130870818417,21.08706058027894,22.223230543423604,24.666841246724683,28.355810246729718,0.04314864309210526,1905.9758771929824
1,-386.52838,131.19376,34.97732,-4.596959,28.424324,13.543786,-0.18624562,-5.3904843,-17.399122,24.908361,0.3739001,0.40259415,0.39678288,0.3720323,0.36045292,0.5045191,0.5285774,0.41371292,0.3425498,0.30398375,0.27621564,0.3113656,21.1209005308453,14.806306646410093,19.414496571255572,16.77359034597013,24.716860569133427,27.403423783293416,30.835871553891952,0.1838597014589337,3266.8632925072047
2,-379.62225,103.21367,-10.109875,12.66611,5.08371,-2.1284544,-25.441149,-10.295883,-9.1913595,-3.868785,0.33841884,0.38574386,0.3103616,0.22903451,0.24223943,0.30459183,0.41666257,0.29968125,0.22333837,0.23476723,0.21979487,0.28934366,24.820198978823765,20.02599288760198,21.84874830940372,19.334447411935475,23.454627789465142,22.03997562446706,28.403287618123027,0.09734674889271654,2382.5049212598424
3,-341.65073,125.38111,8.303187,32.968494,-6.7979474,12.423296,9.391852,-14.333304,-6.3998613,-15.031316,0.3813607,0.3023836,0.25869563,0.29347697,0.35353637,0.4911309,0.45051855,0.39881298,0.38033894,0.35575518,0.3495319,0.37157574,22.472625023099738,15.587886793722696,19.416764432788742,17.92157682629179,20.658275689529322,25.398841598650723,28.30516045422865,0.11138204562883436,2575.536809815951
4,-349.55487,104.04704,-21.938389,3.7133298,-6.836426,-2.3418767,-19.791124,-4.656781,-16.517565,-4.638919,0.69858694,0.46928596,0.4271203,0.53660274,0.5477413,0.62460876,0.5393197,0.32532752,0.35142678,0.44101405,0.38469183,0.5651738,20.743553964767486,15.09189063598556,14.927924874085157,15.033009303648631,15.990275473370563,16.221883100047215,29.096613611050447,0.12561428931451613,3203.8810483870966
5,-251.16867,107.78588,-0.24600162,55.729618,-10.745557,-1.9156852,-11.004936,-19.012163,-16.06694,-0.534308,0.28282562,0.2372957,0.42368218,0.5324681,0.39963937,0.33187503,0.3187324,0.30632854,0.35330892,0.3304837,0.31595713,0.33366793,22.70275433035022,17.662007895349266,21.875504236858227,16.10757017866067,18.75481283903236,20.977349019101407,30.777286843902672,0.09849105342741936,2896.1693548387098
6,-426.42404,101.83218,4.0242763,5.2643723,0.3018398,6.981036,-18.594906,-9.125125,-9.558753,4.2952642,0.3539894,0.38972422,0.41318864,0.32055026,0.32451308,0.32027966,0.34206372,0.19061929,0.10294118,0.13592258,0.23091552,0.33010074,24.335245149000734,18.488134268948727,21.90077452670236,19.621084731601123,22.675815854607265,21.933722779227498,27.856202975998418,0.10939183728448276,2523.3297413793102
7,-266.17987,111.57201,-10.958403,28.853132,-5.128833,8.703999,-6.78824,-12.323052,-13.156157,-3.8970444,0.3862981,0.38293147,0.3664268,0.49831295,0.38647738,0.24700673,0.19558057,0.18930502,0.19802798,0.3026537,0.41117325,0.49610177,25.667334544608707,16.68479037427481,19.492896097386186,16.59331320459437,17.701007569919387,18.748965684990136,29.229253785213977,0.09185348731884058,2762.68115942029
8,-195.5246,83.54484,-3.6634092,28.224197,-6.740994,14.521394,-7.9248767,-13.967368,-12.873226,0.85184,0.26452532,0.30688372,0.3487619,0.39108485,0.46452862,0.4855286,0.36761433,0.19236997,0.17205317,0.23685086,0.30113724,0.27501756,27.287102171974123,18.7578489087405,20.268958912554268,18.093298254227413,18.687834336121593,18.180492951448834,29.050062639605024,0.09687681968167702,3166.5372670807456
